"product_id","product_title","product_url","collection","art","garment","nuvemshop_variant_id","sku","size","color","price_brl","available","visible","variant_image_id","variant_image_url","public_cover","youdraw_product_id","youdraw_variant_id","youdraw_sku","youdraw_cost_brl","youdraw_art_size_cm","reconciliation_status"
"352722685","São Miguel Celeste | Moletom Canguru","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste1/","NUVEM","São Miguel Celeste","Moletom Canguru","1550071840","Q4l6KJi8","M","Branca","299.9","true","true","1234147922","//dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352722685","São Miguel Celeste | Moletom Canguru","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste1/","NUVEM","São Miguel Celeste","Moletom Canguru","1550071859","Nir4FD3C","G","Branca","299.9","true","true","1234147922","//dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352722685","São Miguel Celeste | Moletom Canguru","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste1/","NUVEM","São Miguel Celeste","Moletom Canguru","1550071871","QMKWgLKY","GG","Branca","299.9","true","true","1234147922","//dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352722685","São Miguel Celeste | Moletom Canguru","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste1/","NUVEM","São Miguel Celeste","Moletom Canguru","1550071911","kY4jCMjf","EG","Branca","299.9","true","true","1234147922","//dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352722685-vitrine-nimbus-4ee70153b46ce60d8b17842434254660-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352720257","Acima de Tudo Gótico | Camiseta Oversized Premium","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/","RELIQUIA","Acima de Tudo Gótico","Camiseta Oversized Premium","1550064806","kuX7CAg4","P","Preta","179.9","true","true","1222441987","//dcdn-us.mitiendanube.com/stores/007/889/827/products/file_name-c398a6d5790ec7709517824989990487-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352720257-vitrine-nimbus-0f391a1c6ed223d29e17842432351675-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352720257","Acima de Tudo Gótico | Camiseta Oversized Premium","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/","RELIQUIA","Acima de Tudo Gótico","Camiseta Oversized Premium","1550064812","5a07dsH0","P","Off-White","179.9","true","true","1222442006","//dcdn-us.mitiendanube.com/stores/007/889/827/products/file_name-ea1f36c62775229d6217824990001386-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352720257-vitrine-nimbus-0f391a1c6ed223d29e17842432351675-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352720257","Acima de Tudo Gótico | Camiseta Oversized Premium","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/","RELIQUIA","Acima de Tudo Gótico","Camiseta Oversized Premium","1550064816","Y4wmNXv2","M","Preta","179.9","true","true","1222441987","//dcdn-us.mitiendanube.com/stores/007/889/827/products/file_name-c398a6d5790ec7709517824989990487-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352720257-vitrine-nimbus-0f391a1c6ed223d29e17842432351675-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352720257","Acima de Tudo Gótico | Camiseta Oversized Premium","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/","RELIQUIA","Acima de Tudo Gótico","Camiseta Oversized Premium","1550064820","TeGgVBeF","M","Off-White","179.9","true","true","1222442006","//dcdn-us.mitiendanube.com/stores/007/889/827/products/file_name-ea1f36c62775229d6217824990001386-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352720257-vitrine-nimbus-0f391a1c6ed223d29e17842432351675-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352720257","Acima de Tudo Gótico | Camiseta Oversized Premium","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/","RELIQUIA","Acima de Tudo Gótico","Camiseta Oversized Premium","1550064824","y0Qd0zjE","G","Preta","179.9","true","true","1222441987","//dcdn-us.mitiendanube.com/stores/007/889/827/products/file_name-c398a6d5790ec7709517824989990487-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352720257-vitrine-nimbus-0f391a1c6ed223d29e17842432351675-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
"352720257","Acima de Tudo Gótico | Camiseta Oversized Premium","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/","RELIQUIA","Acima de Tudo Gótico","Camiseta Oversized Premium","1550064826","nennaZRA","G","Off-White","179.9","true","true","1222442006","//dcdn-us.mitiendanube.com/stores/007/889/827/products/file_name-ea1f36c62775229d6217824990001386-1024-1024.webp","http://dcdn-us.mitiendanube.com/stores/007/889/827/products/352720257-vitrine-nimbus-0f391a1c6ed223d29e17842432351675-640-0.webp","","","","","","AGUARDA EXPORTAÇÃO DA YOUDRAW"
